MathRes-MX,ReadingRes-MX,ScienceRes-MX,MathRes-JP,ReadingRes-JP,ScienceRes-JP,MathRes-UK,ReadingRes-UK,ScienceRes-UK
501.2541,488.6635,513.5584,431.695,288.682,396.9974,414.3247,435.3577,489.3137
270.9223,309.9438,245.0019,537.3189,572.8604,575.4756,366.3421,437.0418,432.7117
341.5719,390.9634,341.9806,468.4608,483.6594,480.1753,548.6135,624.4906,603.73
424.0614,425.5953,355.5949,460.0483,422.6564,474.4871,481.54699999999997,514.0815,502.18199999999996
358.6306,385.3965,341.6076,476.2502,505.9795,501.3428,670.3614,568.4806,691.7568
362.8369,282.9372,379.2801,434.1097,395.5812,455.7441,484.8185,478.1786,491.0854
384.6471,302.315,412.8497,520.7275,565.9499,579.765,571.2027,508.7596,531.2756
466.4356,500.5782,466.0015,522.5191,509.3156,546.5684,356.4496,316.6698,350.4662
455.7641,425.0393,426.837,574.7079,463.2456,526.9862,588.4172,685.4141,572.4916
472.5113,537.2753,425.5315,470.4082,431.348,423.10699999999997,636.6334,613.4697,698.4707
479.2102,409.7757,494.9086,455.0631,401.676,457.3294,392.7481,355.1632,454.5319
460.6714,520.9125,370.5147,466.0461,365.6687,382.3573,386.5166,449.7423,427.7695
566.5291,520.4441,542.3722,452.8042,395.3407,498.3588,500.3973,549.9557,486.423
507.4077,525.2558,539.9478,459.8925,510.7453,494.8154,487.4669,505.344,511.1339
449.6105,481.5147,429.6345,471.3429,565.9499,578.8325,474.6923,427.1779,427.95599999999996
406.4574,482.309,424.972,610.2274,579.056,606.7139,439.5622,371.5229,419.3771
473.6797,559.2777,493.0436,613.9663,667.3833,647.8366,420.8677,427.5016,420.9623
603.8402,615.8756,652.4991,551.8071,539.5304,535.8448,515.7423,532.7139,573.2376
473.7576,493.9799,487.4487,513.6392,537.7519,457.5159,385.1924,381.1462,406.3223
397.8891,372.7258,349.4405,423.2045,367.5132,412.8497,424.0614,436.0802,459.3808
337.5214,454.5876,442.969,451.4021,579.4532,500.5035,602.3602,571.2072,605.8747
335.5741,356.0137,341.0481,502.8899,492.2958,534.1664,406.1458,486.0423,465.2555
463.94300000000004,492.5364,400.3543,540.201,483.3417,538.7355,592.3898,582.4345,618.9295
360.3443,298.4657,328.5528,452.6484,437.2824,453.8791,479.3659,433.5934,462.458
442.6001,488.0281,393.0809,490.9721,424.2107,452.6669,258.9266,259.6516,342.8198
296.9388,226.7,291.6263,530.3085,569.6832,537.2436,448.0527,541.2145,494.6289
474.6923,504.23199999999997,503.8605,533.0347,469.6001,460.6863,497.2815,509.0773,541.7195
518.3128,598.2783,483.9985,383.4787,316.75,364.6401,457.8673,474.3659,481.2943
502.5783,515.6324,450.1492,623.0799,638.7087,650.6341,551.7292,576.5803,570.1604
361.5906,398.27099999999996,408.1872,638.1913,634.8166,643.4539,507.17400000000004,456.5291,478.1238
517.3781,498.952,511.5069,632.1156,606.4928,637.5793,498.6057,477.7815,458.5416
416.5836,428.2204,396.9974,724.5755,711.2268,694.1813,524.3885,537.1164,555.3338
322.0206,259.8119,270.4588,451.48,583.9013,493.1369,470.0966,503.1994,495.8411
413.7794,388.7393,383.0101,485.4417,499.5935,461.1526,525.2454,511.6227,538.4558
618.7179,551.414,548.8997,639.6713,635.844,666.2066,677.8392,714.2476,663.6889
494.7889,521.2302,403.5248,539.2662,550.8580000000001,552.7229,333.5488,359.191,360.6304
412.2215,345.0523,365.2928,536.54,486.7624,496.2141,410.6637,428.2204,435.0429
476.9512,518.8473,441.6636,468.0714,529.8882,509.8284,552.1187,588.7466,623.0325
471.4208,482.1111,324.0768,568.8659,670.0045,591.8874,364.23900000000003,409.1531,402.6856
349.595,343.3048,334.5207,560.9986,549.3141,590.7684,482.3259,541.0880000000001,528.4782
455.14099999999996,437.0418,441.6636,624.0925,522.8499,566.7102,432.6297,504.3114,479.2428
430.9939,390.2485,401.9396,573.5395,571.2718,555.2406,508.1866,563.0904,579.9515
407.0026,459.4963,387.6725,553.365,541.1343,529.3174,392.9039,359.8947,399.7016
233.1438,246.2591,254.6065,666.0773,634.5609,630.1194,255.6551,183.6272,260.8542
432.5518,441.0049,401.5666,682.0455,654.2887,660.9847,487.4669,512.4928,526.9862
517.8455,606.8569,552.7229,391.9692,417.9699,454.8116,387.0618,434.5558,493.0436
504.2919,469.2824,374.2447,519.4033,486.7624,574.5431,480.06699999999995,553.0026,536.2178
411.131,463.0867,479.9888,522.9864,544.8213,566.8967,440.2633,506.1384,469.5449
341.2603,312.6601,394.1999,412.3773,433.5934,452.2007,517.456,565.1556,565.7777
449.8442,542.8986,432.4319,556.8702,610.1818,572.3051,544.0957,604.087,636.6468
405.2111,461.8158,436.1619,366.2642,323.0854,300.6714,525.2454,471.76599999999996,499.5711
362.05800000000005,355.2434,345.7106,383.4008,327.1753,406.1358,369.3021,348.2665,375.5502
344.6098,348.0259,346.9228,486.4543,476.5777,590.9549,617.3158,615.1971,688.8661
442.7559,506.9327,463.4838,445.9495,423.6493,456.6766,384.9587,356.0454,341.0481
444.6253,493.9799,470.6639,475.0818,574.3696,554.5878,476.8733,529.0939,442.4095
464.5661,488.3458,467.4935,396.0196,484.4537,471.7829,638.5808,571.7686,640.7497
416.1941,441.0515,487.3555,389.7102,389.9676,363.4278,453.5831,485.1585,439.2391
275.5959,322.3637,338.2507,583.5878,651.1612,606.8072,501.0204,481.0686,491.8314
358.6306,491.0465,386.0873,410.0405,465.6712,470.8504,529.919,636.4052,630.7721
436.05699999999996,454.5242,424.0395,416.1941,552.2083,506.7512,540.9019999999999,566.7965,549.8322
609.7601,570.8063,550.8579,470.6418,519.5622,524.4685,379.8177,392.4726,453.9724
540.0452,526.9399,499.8508,435.9012,643.4746,583.5882,482.7933,528.379,526.0537
433.4086,438.3043,438.5863,504.2141,491.5741,517.0086,531.399,564.9173,509.6419
429.5918,365.5455,475.3264,514.8076,539.4199,562.9802,536.2284,596.4685,583.4017
290.2399,338.56300000000005,308.9705,505.6161,568.3328,545.263,371.8726,490.0933,412.7564
402.8743,304.8813,335.2667,546.2767,569.3628,542.1858,503.8246,455.4865,548.4334
347.7255,373.9651,355.5949,608.6696,675.1675,619.7687,541.6809,558.7771,583.4017
328.9531,339.3332,312.0477,524.8559,685.6524,626.7624,311.9723,312.9809,356.9004
469.0061,382.9409,342.9131,511.8476,637.4378,585.3599,518.3128,551.1757,558.5043
