CNT,ST04Q01,AGE,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q05,PV1MATH,PV1READ,PV1SCIE
Mexico,1,15.58,3,4,2,1,1,1,1,465.1893,544.4241,447.3517
Mexico,0,15.67,2,3,2,2,2,3,2,462.2293,453.5619,413.4092
Mexico,0,16.08,2,4,1,1,1,1,2,374.0536,348.0259,360.6304
Mexico,0,15.83,3,4,3,4,2,1,1,541.0578,549.4745,465.6285
Mexico,1,15.58,3,3,2,1,1,1,1,449.6105,481.5147,429.6345
Mexico,1,15.83,2,4,2,2,2,1,2,468.4608,576.0376,497.9858
Mexico,0,15.75,4,4,1,1,2,1,1,444.4695,398.7088,479.6158
Mexico,1,15.92,3,4,2,2,1,1,1,507.2519,542.0412,546.009
Mexico,0,16.17,4,4,1,1,1,1,1,442.8338,487.5644,431.2197
Mexico,1,16.0,1,3,1,1,1,2,1,452.4147,467.2172,461.3391
Mexico,0,15.33,1,3,1,1,1,1,1,401.7838,335.8363,369.9552
Mexico,1,15.58,2,4,2,2,1,1,2,402.0174,442.5141,393.2674
Mexico,1,15.75,4,4,4,1,2,1,2,390.0997,462.4513,446.4192
Mexico,1,15.33,1,1,1,1,1,1,1,357.8517,361.5739,353.4502
Mexico,0,16.0,2,2,1,1,3,2,2,457.0883,466.5534,394.1999
Mexico,1,15.75,3,4,2,2,1,1,1,437.3812,441.0049,471.3167
Mexico,0,15.58,1,4,1,1,1,1,1,385.2703,382.6699,292.1858
Mexico,0,15.25,3,4,1,2,1,2,1,358.0075,371.4427,350.9325
Mexico,1,15.92,1,3,1,1,1,1,3,305.585,304.46299999999997,306.8258
Mexico,0,15.33,3,3,2,2,2,2,2,413.0784,320.7598,375.4569
Mexico,0,15.75,3,3,1,1,1,1,1,403.7311,425.8146,411.8239
Mexico,1,15.33,2,3,2,2,1,2,4,308.0776,311.5324,341.9806
Mexico,0,16.0,2,2,2,2,2,2,2,463.7093,393.015,415.9269
Mexico,0,15.5,1,1,2,2,1,2,2,449.29900000000004,375.9336,385.8075
Mexico,1,16.17,1,4,2,2,2,1,1,571.9037,563.4875,571.3726
Mexico,1,15.58,3,4,2,1,2,1,2,374.0536,376.0304,381.8911
Mexico,0,15.25,1,4,1,1,1,2,1,267.3391,259.1704,277.6389
Mexico,1,16.17,3,3,2,1,1,1,2,378.4156,493.2705,418.4446
Mexico,1,15.67,3,3,1,1,1,1,1,413.2341,465.6285,443.6218
Mexico,0,15.67,3,3,2,1,2,2,2,464.7219,425.173,433.9239
Mexico,1,15.92,3,3,1,1,2,2,1,509.8224,475.9546,480.6416
Mexico,1,15.75,3,4,1,2,1,2,1,381.843,390.1691,411.9172
Mexico,0,15.58,3,4,2,1,1,1,1,598.6992,494.9422,605.5017
Mexico,1,15.92,3,3,2,2,2,1,2,431.6171,390.884,381.1451
Mexico,1,15.33,3,3,2,2,2,2,2,555.5459999999999,521.3891,499.3846
Mexico,0,15.75,2,4,2,1,2,2,1,425.9308,398.5484,411.9172
Mexico,0,15.58,1,1,2,2,1,1,2,308.7007,231.7439,296.1954
Mexico,0,15.58,1,3,1,1,1,2,2,386.4387,408.0916,452.0142
Mexico,0,15.42,3,3,2,1,2,2,2,488.6353,432.2301,481.7605
Mexico,0,15.83,4,4,2,1,2,2,2,417.6741,329.5812,363.4278
Mexico,0,15.75,3,4,2,2,2,2,4,507.4856,476.3371,562.0477
Mexico,1,15.33,2,3,3,2,2,1,2,231.8196,260.0611,257.6837
Mexico,1,15.58,3,3,2,2,1,2,2,404.7437,419.7174,415.2742
Mexico,1,15.42,1,3,1,2,2,1,1,294.2904,238.4558,264.5841
Mexico,0,15.92,3,3,2,2,2,2,2,412.5331,532.6337,471.2234
Mexico,1,16.0,3,3,2,2,2,2,2,558.1944,596.8486,574.7296
