CNT,ST04Q01,AGE,ST13Q01,ST17Q01,ST19Q01,ST15Q01,ST26Q10,ST26Q02,BFMJ2,BMMJ1,PV1MATH,PV1READ,PV1SCIE
Mexico,0,16.17,1,1,4,1,1,1,62.13,83.5,444.4695,496.5461,456.3036
Mexico,1,15.92,4,3,4,4,1,2,44.14,44.14,374.9104,374.3623,318.0157
Mexico,1,16.08,1,5,2,2,1,2,23.53,16.5,405.4448,410.0268,395.1324
Mexico,1,15.92,2,2,1,4,2,2,21.13,57.04,363.3043,405.26099999999997,378.6274
Mexico,1,15.67,3,4,2,1,2,2,22.57,16.5,424.8403,335.04400000000004,386.36699999999996
Mexico,0,15.42,3,3,1,1,1,2,23.57,23.88,483.1827,475.5352,481.7605
Mexico,1,16.08,4,5,1,2,2,2,29.47,16.5,360.9674,443.8644,361.1899
Mexico,1,15.83,3,3,1,4,2,2,25.95,39.04,398.2785,435.4448,436.0686
Mexico,0,16.08,5,2,2,4,1,2,39.04,21.24,512.7824,444.3395,522.2305
Mexico,1,15.42,1,1,1,1,1,1,88.31,88.31,506.1614,479.1318,643.1742
Mexico,0,15.67,2,2,1,1,2,2,39.02,62.13,346.4792,291.7294,337.3182
Mexico,1,15.83,3,3,2,2,1,1,30.34,16.5,329.031,312.8033,294.9832
Mexico,0,15.33,4,4,1,1,1,1,11.74,52.72,422.5035,481.1488,400.0746
Mexico,1,15.92,1,2,1,3,1,2,81.4,54.55,300.2882,379.0487,371.8202
Mexico,1,15.67,4,4,4,4,2,1,29.47,29.47,483.3385,533.1449,532.8609
Mexico,1,15.58,4,3,1,1,1,2,27.91,31.08,464.0988,474.3659,473.4614
Mexico,0,15.67,1,1,1,1,1,2,27.91,44.94,382.8556,445.8632,435.2294
Mexico,1,16.0,2,3,2,1,2,1,11.74,58.77,287.0463,342.5105,340.7684
Mexico,1,16.0,2,1,1,2,1,1,11.74,82.41,491.1279,460.8627,448.2842
Mexico,1,15.58,3,4,1,2,1,2,29.73,68.88,297.1725,298.8234,309.9963
Mexico,1,15.67,2,4,1,1,2,2,11.74,68.7,429.0466,513.1283,418.4446
Mexico,0,15.5,4,3,1,3,1,2,22.57,41.63,390.8786,368.8765,433.3644
Mexico,1,15.5,3,4,2,4,1,2,17.56,21.24,407.5479,437.0334,441.7568
Mexico,1,16.17,2,2,1,1,1,1,62.13,58.77,359.3317,371.8999,413.6889
Mexico,0,15.5,3,3,1,4,2,2,70.34,14.64,525.4012,392.9348,488.1015
Mexico,0,16.08,3,3,2,1,1,1,26.62,16.5,378.8051,389.727,346.5498
Mexico,1,15.58,4,3,2,2,1,1,22.57,16.38,524.5443,496.2889,488.9407
Mexico,1,15.83,4,3,1,2,1,1,51.25,39.04,304.9618,303.5893,328.9258
Mexico,1,15.67,3,3,1,4,1,2,51.5,41.63,373.4304,509.3156,460.6863
Mexico,0,15.33,3,1,4,2,1,2,29.16,29.47,364.0053,397.8267,403.8046
Mexico,1,16.0,3,1,4,4,2,1,56.64,62.39,471.7324,522.9777,497.3331
Mexico,1,15.92,1,1,1,4,1,1,75.54,76.65,532.2558,562.5344,462.1783
Mexico,0,16.08,2,3,3,1,1,2,24.53,16.8,485.5196,524.534,577.2473
Mexico,0,15.67,3,3,1,3,1,2,33.76,14.57,487.7785,466.8742,441.7568
Mexico,1,15.58,3,1,2,2,1,1,88.7,68.7,433.2528,512.6517,460.4066
Mexico,1,16.0,1,1,1,4,1,1,70.34,31.08,504.1362,451.4898,446.4192
Mexico,0,15.67,4,1,1,1,2,2,25.04,39.02,470.0187,459.9774,467.4935
Mexico,1,16.0,1,1,1,1,1,1,65.01,65.01,470.0187,499.7839,515.7031
Mexico,0,15.83,2,3,1,4,1,2,23.57,62.13,428.5792,360.2155,340.1156
Mexico,1,16.08,1,3,1,4,1,1,62.13,76.65,389.0092,467.6937,423.6665
Mexico,1,15.33,1,1,1,1,1,2,76.65,76.65,535.5273,640.3768,495.8411
Mexico,0,15.25,3,2,1,4,1,1,65.42,65.42,307.9218,296.7816,368.37
Mexico,1,15.25,4,4,1,1,2,2,15.35,16.38,366.1863,451.2515,398.8624
Mexico,0,16.08,3,3,1,2,1,1,25.95,24.98,446.4948,448.269,453.8791
Mexico,1,15.92,2,2,1,1,2,1,73.91,73.91,506.473,551.5729,490.0597
Mexico,0,15.92,1,2,3,4,2,1,73.91,68.7,596.5181,578.9861,583.495
Mexico,0,15.92,3,2,1,1,1,1,50.37,52.72,493.3868,514.0285,471.8762
Mexico,1,16.08,3,1,2,4,1,2,22.57,35.34,413.8573,411.6949,428.9817
Mexico,0,15.75,3,3,2,4,2,1,25.2,24.53,550.1714,478.0212,555.8001
Mexico,0,15.33,2,1,1,1,1,2,30.9,58.77,553.6766,504.2448,532.2081
Mexico,1,15.67,2,2,1,1,1,1,27.52,16.38,415.2594,456.8117,412.8497
Mexico,0,15.33,1,2,2,4,2,1,62.13,32.5,434.1097,415.3893,414.6214
Mexico,0,16.17,4,1,1,4,2,2,30.78,31.08,376.4683,434.63599999999997,424.8788
Mexico,1,15.58,3,3,1,4,1,2,31.15,39.04,450.3895,393.5052,417.3256
Mexico,0,15.25,1,1,1,3,1,1,16.5,16.5,340.8709,308.89099999999996,329.4853
Mexico,0,15.67,1,1,1,2,1,2,79.74,79.74,391.8913,406.4877,473.4614
Mexico,1,15.58,2,1,2,2,1,2,20.95,16.5,396.3312,441.0049,422.1746
Mexico,0,15.83,3,1,1,4,1,2,24.53,32.5,553.6766,570.8063,517.2883
Mexico,0,15.92,4,4,2,4,2,2,26.62,30.9,483.8838,534.2376,438.9593
Mexico,0,15.75,1,3,1,2,1,2,39.45,65.01,373.4304,346.1012,317.3629
Mexico,1,15.67,1,2,1,1,1,1,79.05,78.86,566.1396,531.5563,545.263
Mexico,0,16.0,3,4,1,4,2,1,23.19,29.32,520.4938,506.0091,514.4909
Mexico,0,16.0,5,4,2,2,2,1,30.34,25.2,419.3099,446.6651,360.5371
Mexico,1,15.58,2,2,1,4,1,1,74.66,24.98,478.587,483.8977,508.2432
Mexico,0,16.08,2,2,1,1,1,1,39.04,82.41,529.7632,504.325,491.1787
Mexico,0,15.83,5,1,1,4,1,2,51.92,16.5,403.0301,435.9191,404.0843
