CNT,ST04Q01,AGE,ST05Q01,ST06Q01,ST08Q01,ST09Q01,ST115Q01,CLCUSE1,PV1MATH,PV1READ,PV1SCIE
Mexico,1,15.25,3,6.0,1,1,1.0,1,457.7115,519.0062,470.2909
Mexico,1,16.0,2,5.0,2,1,1.0,3,549.2366,542.5972,499.5711
Mexico,1,15.33,3,6.0,1,1,1.0,3,357.6959,460.2272,365.2928
Mexico,0,15.92,2,5.0,1,1,1.0,3,434.2655,511.6227,449.2167
Mexico,0,15.67,3,6.0,1,1,1.0,3,333.7825,260.6139,316.8034
Mexico,0,15.67,2,6.0,1,1,2.0,3,348.4265,330.4633,378.6274
Mexico,1,15.33,3,5.0,3,1,2.0,3,448.1305,499.8633,467.2137
Mexico,0,15.42,2,5.0,1,1,1.0,3,508.0308,543.059,557.1988
Mexico,1,15.42,2,5.0,1,2,1.0,3,394.3839,429.1697,418.7244
Mexico,0,15.42,3,6.0,2,1,1.0,3,256.1224,320.5994,293.4912
